state,date,ML,High_90,Low_90
AMA,2020-04-08,3.0,6.99,1.01
AMA,2020-04-09,3.29,7.03,1.19
AMA,2020-04-10,3.38,6.51,1.31
AMA,2020-04-11,3.0,5.52,1.19
AMA,2020-04-12,2.77,5.01,1.16
AMA,2020-04-13,2.6,4.61,1.09
AMA,2020-04-14,2.47,4.35,1.07
AMA,2020-04-15,2.52,4.32,1.14
AMA,2020-04-16,2.52,4.18,1.15
AMA,2020-04-17,2.49,4.07,1.2
AMA,2020-04-18,2.34,3.80,1.14
AMA,2020-04-19,2.13,3.49,1.03
AMA,2020-04-20,1.98,3.28,0.96
AMA,2020-04-21,1.86,3.09,0.88
AMA,2020-04-22,1.83,3.02,0.86
AMA,2020-04-23,1.81,2.99,0.87
AMA,2020-04-24,1.85,3.02,0.91
AMA,2020-04-25,1.94,3.11,1.0
AMA,2020-04-26,2.01,3.12,1.05
AMA,2020-04-27,2.06,3.12,1.11
AMA,2020-04-28,2.02,3.07,1.14
AMA,2020-04-29,1.89,2.86,1.04
AMA,2020-04-30,1.84,2.77,1.02
AMA,2020-05-01,1.78,2.7,1.01
AMA,2020-05-02,1.7,2.55,0.93
AMA,2020-05-03,1.67,2.52,0.94
AMA,2020-05-04,1.67,2.51,0.96
AMA,2020-05-05,1.64,2.41,0.91
AMA,2020-05-06,1.64,2.41,0.94
AMA,2020-05-07,1.64,2.41,0.97
AMA,2020-05-08,1.64,2.35,0.95
AMA,2020-05-09,1.61,2.34,0.97
AMA,2020-05-10,1.55,2.26,0.93
AMA,2020-05-11,1.51,2.16,0.87
AMA,2020-05-12,1.49,2.16,0.89
AMA,2020-05-13,1.58,2.24,0.98
AMA,2020-05-14,1.67,2.33,1.09
AMA,2020-05-15,1.73,2.35,1.15
AMA,2020-05-16,1.71,2.33,1.17
AMA,2020-05-17,1.63,2.2,1.09
AMA,2020-05-18,1.54,2.09,1.02
AMA,2020-05-19,1.48,2.02,0.98
AMA,2020-05-20,1.46,2.0,0.98
AMA,2020-05-21,1.5,2.02,1.02
AMA,2020-05-22,1.51,1.99,1.02
AMA,2020-05-23,1.49,1.99,1.04
AMA,2020-05-24,1.47,1.97,1.04
AMA,2020-05-25,1.44,1.90,1.0
AMA,2020-05-26,1.41,1.86,0.98
AMA,2020-05-27,1.40,1.83,0.97
AMA,2020-05-28,1.40,1.85,1.0
AMA,2020-05-29,1.45,1.88,1.05
AMA,2020-05-30,1.45,1.87,1.06
AMA,2020-05-31,1.45,1.86,1.07
AMA,2020-06-01,1.43,1.82,1.05
AMA,2020-06-02,1.41,1.78,1.03
AMA,2020-06-03,1.38,1.77,1.03
AMA,2020-06-04,1.35,1.72,1.0
AMA,2020-06-05,1.31,1.68,0.97
AMA,2020-06-06,1.29,1.66,0.96
AMA,2020-06-07,1.25,1.62,0.93
AMA,2020-06-08,1.23,1.59,0.91
AMA,2020-06-09,1.25,1.59,0.92
AMA,2020-06-10,1.28,1.61,0.95
